target_lastauthor_year,type,short_cite,write_up_link,github_link,on_turk,repeated_measure,N,test_description,raw_stat,same_direction,MCF_rep_score,TA_rep_score,replication_score,closeness,pre-registration,comments,cost,Checked links?,name_pretty,sensitivity,include,journal,target_cite,article_link,study_number,subfield,target_year,stanford_internal,open_data,open_materials,within_between,single_vignette
schechtman2010,rep1,bonnen2018,https://rpubs.com/tyler/446885,https://github.com/tzler/perception_affect_memory,yes,84,20,valence x distance --> match,t(1420)=-2.384,yes,0.5,0.75,0.5,close,NA,"replicate stat of interest, but pattern looks somewhat different",NA,TRUE,Schechtman et al. 2010,NA,exp,Journal of Neuroscience,"Schechtman, E., Laufer, O., & Paz, R. (2010). Negative valence widens generalization of learning. Journal of Neuroscience, 30(31), 10460-10464.",https://www.jneurosci.org/content/30/31/10460.short,1.0,cognitive,2010,no,no,no,within,0
schechtman2010,rescue,klevak2023,https://rpubs.com/nklevak/1167949,https://github.com/psych251/schechtman2010_rescue,yes,90,21,valence x distance --> match,t(1508)=-1.195,yes,0,0,0,close,https://osf.io/e5v3p,"note, 4 x [learn, generalize] compared to 3x in original and 1st rep (although data point numbers don't like up with this)",197.01,TRUE,Schechtman et al. 2010,NA,exp,Journal of Neuroscience,"Schechtman, E., Laufer, O., & Paz, R. (2010). Negative valence widens generalization of learning. Journal of Neuroscience, 30(31), 10460-10464.",https://www.jneurosci.org/content/30/31/10460.short,1.0,cognitive,2010,no,no,no,within,0
tarampi2016,original,tarampi2016,https://journals.sagepub.com/doi/abs/10.1177/0956797616667459,NA,no,2,139,"sex x condition on road map (female-social, female-spatial, male-social, male-spatial)","MSD4: m1= 11.59 (5.29), m2=7.69 (3.80), m3= 14.06 (6.46), m4= 14.06 (5.32)",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Tarampi et al. 2016,NA,stats,Psych Sci,"Tarampi, M. R., Heydari, N., & Hegarty, M. (2016). A tale of two types of perspective taking: Sex differences in spatial ability. Psychological Science, 27(11), 1507-1516.",https://journals.sagepub.com/doi/abs/10.1177/0956797616667459,1.0,cognitive,2016,no,no,yes,between,1
tarampi2016,rep1,dietz2018,https://rpubs.com/gdietz44/psych251writeup,https://github.com/psych251/tarampi2016,yes,1,212,"sex x condition on road map (female-social, female-spatial, male-social, male-spatial)","MSD4: m1=5.81 (2.99), m2= 5.21 (3.60), m3= 7.41 (3.51), m4=6.64 (3.92)",no,0,0.25,0,close,NA,"replicated 1 ME, but not other ME or key interaction; excluded a task",NA,TRUE,Tarampi et al. 2016,NA,stats,Psych Sci,"Tarampi, M. R., Heydari, N., & Hegarty, M. (2016). A tale of two types of perspective taking: Sex differences in spatial ability. Psychological Science, 27(11), 1507-1516.",https://journals.sagepub.com/doi/abs/10.1177/0956797616667459,1.0,cognitive,2016,no,no,yes,between,1
tarampi2016,rescue,hu2023,https://rpubs.com/chuqihu8/final_report,https://github.com/psych251/tarampi2016_rescue,yes,1,166,"sex x condition on road map (female-social, female-spatial, male-social, male-spatial)","MSD4: m1=18.4 (8.77), m2=12.9 (7.58), m3=25.9 (6.82), m4=17.7 (6.96)",no,0,0,0,very close,https://osf.io/jm627,NA,189.34,TRUE,Tarampi et al. 2016,NA,stats,Psych Sci,"Tarampi, M. R., Heydari, N., & Hegarty, M. (2016). A tale of two types of perspective taking: Sex differences in spatial ability. Psychological Science, 27(11), 1507-1516.",https://journals.sagepub.com/doi/abs/10.1177/0956797616667459,1.0,cognitive,2016,no,no,yes,between,1
todd2016,additional,todd2023,"[parallel study, reported in rescue]",NA,no,144,161,"race x target on RT (black-gun, black-toy, white-gun, white-toy)","MSD4: m1=295 (239), m2=335 (226), m3 =300 (225), m4 = 334 (279)",yes,NA,NA,NA,far,NA,note: including participants of all races (23 were white),NA,TRUE,Todd et al. 2016,NA,stats,Psych Sci,"Todd, A. R., Thiem, K. C., & Neel, R. (2016). Does seeing faces of young black boys facilitate the identification of threatening stimuli?. Psychological science, 27(3), 384-393.",https://journals.sagepub.com/doi/abs/10.1177/0956797615624492,1.0,social,2016,no,no,yes,within,0
todd2016,original,todd2016,https://journals.sagepub.com/doi/abs/10.1177/0956797615624492,NA,no,144,63,"race x target on RT (black-gun, black-toy, white-gun, white-toy)","MSD4: m1=255.8(35), m2=296.6(30.7), m3=261.9(37.4), m4=287.7(30.7)",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Todd et al. 2016,NA,stats,Psych Sci,"Todd, A. R., Thiem, K. C., & Neel, R. (2016). Does seeing faces of young black boys facilitate the identification of threatening stimuli?. Psychological science, 27(3), 384-393.",https://journals.sagepub.com/doi/abs/10.1177/0956797615624492,1.0,social,2016,no,no,yes,within,0
todd2016,rep1,lee2016,http://rpubs.com/cinoolee/260772,https://github.com/StanfordPsych254/Todd2016,yes,144,26,race x target on RT,"MSE4: m1=449.6 ( 8.9), m2 = 435 ( 20.7), m3 = 447.5( 8.6), m4= 433.7(23)",no,0,0,0,very close,NA,do not have permission to share write-up / repo,NA,TRUE,Todd et al. 2016,NA,stats,Psych Sci,"Todd, A. R., Thiem, K. C., & Neel, R. (2016). Does seeing faces of young black boys facilitate the identification of threatening stimuli?. Psychological science, 27(3), 384-393.",https://journals.sagepub.com/doi/abs/10.1177/0956797615624492,1.0,social,2016,no,no,yes,within,0
todd2016,rescue,mazzaferro2023,https://rpubs.com/mateusmazza/final_project_v2,https://github.com/psych251/todd2016_1_rescue/tree/main,yes,144,55,race x target on RT,"MSD4: m1=254 (74.8), m2=281 (74.1), m3=258 (73.6), m4=278 (75.4)",yes,0.75,1,1,very close,https://osf.io/vc6py,NA,373.62,TRUE,Todd et al. 2016,NA,stats,Psych Sci,"Todd, A. R., Thiem, K. C., & Neel, R. (2016). Does seeing faces of young black boys facilitate the identification of threatening stimuli?. Psychological science, 27(3), 384-393.",https://journals.sagepub.com/doi/abs/10.1177/0956797615624492,1.0,social,2016,no,no,yes,within,0
yeshurun2003,additional,chica2009,https://link.springer.com/content/pdf/10.3758/APP.71.2.273,NA,no,800,12,cued -> smaller d',"F(1,11)=31.96",yes,NA,NA,NA,close,NA,"has slightly different modeling choices (doesn't include interaction with eccentricity, doesn't vary ISI, does this weird thing with tones before responding, but treats itself as a replication)",NA,TRUE,Yeshurun & Levy 2003,NA,stats,Psych Sci,"Yeshurun, Y., & Levy, L. (2003). Transient spatial attention degrades temporal resolution. Psychological Science, 14(3), 225-231.",https://journals.sagepub.com/doi/full/10.1111/1467-9280.02436,1.0,cognitive,2003,no,no,no,within,0
yeshurun2003,original,yeshurun2003,https://journals.sagepub.com/doi/full/10.1111/1467-9280.02436,NA,no,864,18,cued -> smaller d',"F(1,17)=8.01",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Yeshurun & Levy 2003,NA,stats,Psych Sci,"Yeshurun, Y., & Levy, L. (2003). Transient spatial attention degrades temporal resolution. Psychological Science, 14(3), 225-231.",https://journals.sagepub.com/doi/full/10.1111/1467-9280.02436,1.0,cognitive,2003,no,no,no,within,0
yeshurun2003,rep1,kim2019,http://rpubs.com/insubkim/558263,https://github.com/psych251/Yeshurun2003,no,864,10,cued -> smaller d',"F(1,9)=2.061",no,0,0,0,close,https://osf.io/62hsc,"smaller sample, lower accuracy",NA,TRUE,Yeshurun & Levy 2003,NA,stats,Psych Sci,"Yeshurun, Y., & Levy, L. (2003). Transient spatial attention degrades temporal resolution. Psychological Science, 14(3), 225-231.",https://journals.sagepub.com/doi/full/10.1111/1467-9280.02436,1.0,cognitive,2003,no,no,no,within,0
yeshurun2003,rescue,ergin2023,https://rpubs.com/irmak_ergin/1159352,https://github.com/psych251/yeshurun2003_rescue,no,864,18,cued -> smaller d',"F(1,17)=.721",no,0,0,0,very close,https://osf.io/kfmjr,NA,NA,TRUE,Yeshurun & Levy 2003,NA,stats,Psych Sci,"Yeshurun, Y., & Levy, L. (2003). Transient spatial attention degrades temporal resolution. Psychological Science, 14(3), 225-231.",https://journals.sagepub.com/doi/full/10.1111/1467-9280.02436,1.0,cognitive,2003,no,no,no,within,0
